"Date","Price","Open","High","Low","Vol.","Change %"
"25-06-2009","1.6367","1.6428","1.6468","1.6235","","-0.23%"
"24-06-2009","1.6405","1.6444","1.6601","1.6373","","-0.29%"
"23-06-2009","1.6453","1.6330","1.6475","1.6210","","0.69%"
"22-06-2009","1.6340","1.6498","1.6516","1.6311","","-0.99%"
"19-06-2009","1.6504","1.6346","1.6565","1.6304","","1.05%"
"18-06-2009","1.6333","1.6408","1.6469","1.6191","","-0.35%"
"17-06-2009","1.6390","1.6379","1.6482","1.6222","","-0.03%"
"16-06-2009","1.6395","1.6291","1.6504","1.6218","","0.56%"
"15-06-2009","1.6303","1.6423","1.6434","1.6244","","-0.85%"
"12-06-2009","1.6442","1.6587","1.6599","1.6337","","-0.79%"
"11-06-2009","1.6573","1.6355","1.6619","1.6340","","1.36%"
"10-06-2009","1.6351","1.6312","1.6471","1.6242","","0.25%"
"09-06-2009","1.6311","1.6073","1.6362","1.5987","","1.63%"
"08-06-2009","1.6049","1.5963","1.6105","1.5805","","0.45%"
"05-06-2009","1.5977","1.6140","1.6235","1.5943","","-1.24%"
"04-06-2009","1.6178","1.6303","1.6433","1.6091","","-0.72%"
"03-06-2009","1.6296","1.6571","1.6662","1.6243","","-1.68%"
"02-06-2009","1.6575","1.6449","1.6598","1.6327","","0.80%"
"01-06-2009","1.6443","1.6176","1.6498","1.6163","","1.61%"
"29-05-2009","1.6182","1.5944","1.6197","1.5924","","1.59%"
"28-05-2009","1.5928","1.5959","1.6012","1.5855","","-0.19%"
"27-05-2009","1.5958","1.5946","1.6086","1.5924","","0.18%"
"26-05-2009","1.5929","1.5918","1.5973","1.5779","","0.08%"
"25-05-2009","1.5917","1.5920","1.5934","1.5837","","-0.10%"
"22-05-2009","1.5933","1.5869","1.5941","1.5756","","0.56%"
"21-05-2009","1.5845","1.5742","1.5892","1.5520","","0.71%"
"20-05-2009","1.5734","1.5482","1.5794","1.5452","","1.69%"
"19-05-2009","1.5473","1.5330","1.5524","1.5296","","0.83%"
"18-05-2009","1.5345","1.5164","1.5349","1.5118","","1.21%"
"15-05-2009","1.5161","1.5222","1.5288","1.5135","","-0.39%"
"14-05-2009","1.5221","1.5136","1.5248","1.5062","","0.46%"
"13-05-2009","1.5151","1.5280","1.5332","1.5088","","-0.79%"
"12-05-2009","1.5271","1.5110","1.5353","1.5074","","1.04%"
"11-05-2009","1.5114","1.5225","1.5248","1.5070","","-0.85%"
"08-05-2009","1.5244","1.5029","1.5254","1.4969","","1.41%"
"07-05-2009","1.5032","1.5122","1.5197","1.4946","","-0.59%"
"06-05-2009","1.5121","1.5053","1.5154","1.4993","","0.36%"
"05-05-2009","1.5067","1.5035","1.5162","1.4984","","0.27%"
"04-05-2009","1.5027","1.4932","1.5041","1.4838","","0.74%"
"01-05-2009","1.4917","1.4792","1.4935","1.4755","","0.89%"
"30-04-2009","1.4786","1.4761","1.4944","1.4705","","0.08%"
"29-04-2009","1.4774","1.4638","1.4813","1.4625","","1.02%"
"28-04-2009","1.4625","1.4622","1.4691","1.4518","","0.03%"
"27-04-2009","1.4620","1.4650","1.4695","1.4516","","-0.37%"
"24-04-2009","1.4675","1.4691","1.4773","1.4575","","-0.29%"
"23-04-2009","1.4717","1.4482","1.4741","1.4444","","1.68%"
"22-04-2009","1.4474","1.4670","1.4679","1.4402","","-1.34%"
"21-04-2009","1.4671","1.4518","1.4708","1.4474","","1.01%"
"20-04-2009","1.4525","1.4779","1.4796","1.4485","","-1.81%"
"17-04-2009","1.4793","1.4924","1.4940","1.4756","","-0.87%"
"16-04-2009","1.4923","1.4995","1.5066","1.4841","","-0.42%"
"15-04-2009","1.4986","1.4901","1.5036","1.4826","","0.60%"
"14-04-2009","1.4896","1.4854","1.4943","1.4826","","0.34%"
"13-04-2009","1.4845","1.4626","1.4870","1.4605","","1.19%"
"10-04-2009","1.4670","1.4654","1.4684","1.4600","","0.02%"
"09-04-2009","1.4667","1.4694","1.4779","1.4585","","-0.21%"
"08-04-2009","1.4698","1.4735","1.4747","1.4636","","-0.23%"
"07-04-2009","1.4732","1.4695","1.4778","1.4584","","-0.14%"
"06-04-2009","1.4752","1.4867","1.4957","1.4664","","-0.53%"
"03-04-2009","1.4830","1.4736","1.4846","1.4650","","0.69%"
"02-04-2009","1.4729","1.4463","1.4750","1.4453","","1.85%"
"01-04-2009","1.4461","1.4344","1.4480","1.4274","","0.95%"
"31-03-2009","1.4325","1.4263","1.4375","1.4241","","0.49%"
"30-03-2009","1.4255","1.4262","1.4299","1.4113","","-0.47%"
"27-03-2009","1.4323","1.4465","1.4495","1.4270","","-0.80%"
"26-03-2009","1.4438","1.4553","1.4638","1.4425","","-0.78%"
"25-03-2009","1.4551","1.4702","1.4723","1.4516","","-0.87%"
"24-03-2009","1.4678","1.4561","1.4777","1.4554","","0.74%"
"23-03-2009","1.4570","1.4480","1.4647","1.4453","","0.72%"
"20-03-2009","1.4466","1.4501","1.4589","1.4396","","-0.28%"
"19-03-2009","1.4506","1.4298","1.4596","1.4168","","1.21%"
"18-03-2009","1.4332","1.4051","1.4335","1.3852","","2.03%"
"17-03-2009","1.4047","1.4071","1.4138","1.3965","","-0.09%"
"16-03-2009","1.4060","1.3959","1.4230","1.3923","","0.41%"
